,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hithadhoo,57,MV,1569987736,75,-0.6,73.08,82.67,16.84
1,Mlonggo,5,ID,1569987736,67,-6.53,110.7,80.6,3.85
2,New Norfolk,0,AU,1569987737,42,-42.78,147.06,66.0,13.87
3,Burayevo,100,RU,1569987737,82,55.84,55.41,48.47,12.15
4,Itupeva,0,BR,1569987738,64,-23.15,-47.06,75.0,13.87
5,Lima,90,PE,1569987621,88,-12.06,-77.04,62.6,14.99
6,Port Alfred,0,ZA,1569987621,90,-33.59,26.89,54.0,4.0
7,Butterworth,75,MY,1569987622,74,5.4,100.37,86.0,3.36
8,Atuona,28,PF,1569987739,73,-9.8,-139.03,79.79,13.13
9,Ushuaia,40,AR,1569987740,74,-54.81,-68.31,37.4,9.17
10,Tiksi,100,RU,1569987623,88,71.64,128.87,29.22,22.06
